1341:  [INFO] SCORE: 0.99616011
1344:  [INFO] SCORE: 0.849239
1347:  [INFO] SCORE: 0.9531389
1350:  [INFO] SCORE: 0.99260485
1353:  [INFO] SCORE: 0.99400932
1356:  [INFO] SCORE: 0.99621609
1359:  [INFO] SCORE: 0.99561135
1362:  [INFO] SCORE: 0.868123
1365:  [INFO] SCORE: 0.99782605
1368:  [INFO] SCORE: 0.852929
1371:  [INFO] SCORE: 0.858217
1374:  [INFO] SCORE: 0.99619747
1377:  [INFO] SCORE: 0.99502097
1380:  [INFO] SCORE: 0.9321735
1383:  [INFO] SCORE: 0.9788771
1386:  [INFO] SCORE: 0.9846576
1389:  [INFO] SCORE: 0.99207172
1392:  [INFO] SCORE: 0.99150529
1395:  [INFO] SCORE: 0.989544
1398:  [INFO] SCORE: 0.99215173
1401:  [INFO] SCORE: 0.99743446
1404:  [INFO] SCORE: 0.99845292
1407:  [INFO] SCORE: 0.9835913
1410:  [INFO] SCORE: 0.9569079
1413:  [INFO] SCORE: 0.99614233
1416:  [INFO] SCORE: 0.99566243
1419:  [INFO] SCORE: 0.9711493
1422:  [INFO] SCORE: 0.99665724
1425:  [INFO] SCORE: 0.99388326
1428:  [INFO] SCORE: 0.99378392
1431:  [INFO] SCORE: 0.99315263
1434:  [INFO] SCORE: 0.9530809
1437:  [INFO] SCORE: 0.817665
1440:  [INFO] SCORE: 0.99463043
1443:  [INFO] SCORE: 0.99490981
1446:  [INFO] SCORE: 0.9832246
1449:  [INFO] SCORE: 0.9772878
1452:  [INFO] SCORE: 0.99352012
1455:  [INFO] SCORE: 0.99278315
1458:  [INFO] SCORE: 0.99434777
1461:  [INFO] SCORE: 0.9128151
1464:  [INFO] SCORE: 0.9649491
1467:  [INFO] SCORE: 0.98997
1470:  [INFO] SCORE: 0.99816401
1473:  [INFO] SCORE: 0.884874
1476:  [INFO] SCORE: 0.9946168
1479:  [INFO] SCORE: 0.816997
1482:  [INFO] SCORE: 0.9686138
1485:  [INFO] SCORE: 0.9821265
1488:  [INFO] SCORE: 0.99600082
1491:  [INFO] SCORE: 0.9641782
1494:  [INFO] SCORE: 0.99183727
1497:  [INFO] SCORE: 0.99403603
1500:  [INFO] SCORE: 0.9431634
1503:  [INFO] SCORE: 0.99620264
1506:  [INFO] SCORE: 0.99531252
1509:  [INFO] SCORE: 0.9686513
1512:  [INFO] SCORE: 0.9333426
1515:  [INFO] SCORE: 0.9894315
1518:  [INFO] SCORE: 0.9787679
1521:  [INFO] SCORE: 0.9714679
1524:  [INFO] SCORE: 0.99233745
1527:  [INFO] SCORE: 0.99473886
1530:  [INFO] SCORE: 0.9999742152
1533:  [INFO] SCORE: 0.9458818
1536:  [INFO] SCORE: 0.9999144332
1539:  [INFO] SCORE: 0.9374027
1542:  [INFO] SCORE: 0.99729199
1545:  [INFO] SCORE: 0.99487982
1548:  [INFO] SCORE: 0.9374173
1551:  [INFO] SCORE: 0.99180716
1554:  [INFO] SCORE: 0.9829814
1557:  [INFO] SCORE: 0.99138533
1560:  [INFO] SCORE: 0.99708552
1563:  [INFO] SCORE: 0.9909121
1566:  [INFO] SCORE: 0.99872146
1569:  [INFO] SCORE: 0.99545373
1572:  [INFO] SCORE: 0.99694255
1575:  [INFO] SCORE: 0.9897791
1578:  [INFO] SCORE: 0.9929074
1581:  [INFO] SCORE: 0.99239488
1584:  [INFO] SCORE: 0.9499349
1587:  [INFO] SCORE: 0.99709935
1590:  [INFO] SCORE: 0.877352
1593:  [INFO] SCORE: 0.9628311
1596:  [INFO] SCORE: 0.99429331
1599:  [INFO] SCORE: 0.9567406
1602:  [INFO] SCORE: 0.99745405
1605:  [INFO] SCORE: 0.99794599
1608:  [INFO] SCORE: 0.9896088
1611:  [INFO] SCORE: 0.9887173
1614:  [INFO] SCORE: 0.9843113
1617:  [INFO] SCORE: 0.9818864
1620:  [INFO] SCORE: 0.99866084
1623:  [INFO] SCORE: 0.970021
1626:  [INFO] SCORE: 0.99870982
1629:  [INFO] SCORE: 0.9756056
1632:  [INFO] SCORE: 0.9676111
1635:  [INFO] SCORE: 0.881949
1638:  [INFO] SCORE: 0.953827
1641:  [INFO] SCORE: 0.9881757
1644:  [INFO] SCORE: 0.99620444
1647:  [INFO] SCORE: 0.9712977
1650:  [INFO] SCORE: 0.9677732
1653:  [INFO] SCORE: 0.99469458
1656:  [INFO] SCORE: 0.9631494
1659:  [INFO] SCORE: 0.99702004
1662:  [INFO] SCORE: 0.9059767
1665:  [INFO] SCORE: 0.99815437
1668:  [INFO] SCORE: 0.9602519
1671:  [INFO] SCORE: 0.99492199
1674:  [INFO] SCORE: 0.847912
1677:  [INFO] SCORE: 0.99018443
1680:  [INFO] SCORE: 0.99191475
1683:  [INFO] SCORE: 0.99330565
1686:  [INFO] SCORE: 0.895161
1689:  [INFO] SCORE: 0.9886827
1692:  [INFO] SCORE: 0.99264412
1695:  [INFO] SCORE: 0.9760894
1698:  [INFO] SCORE: 0.9768159
1701:  [INFO] SCORE: 0.99276822
1704:  [INFO] SCORE: 0.99001614
1707:  [INFO] SCORE: 0.99749333
1710:  [INFO] SCORE: 0.989547
1713:  [INFO] SCORE: 0.99044343
1716:  [INFO] SCORE: 0.820634
1719:  [INFO] SCORE: 0.9564361
1722:  [INFO] SCORE: 0.99629648
1725:  [INFO] SCORE: 0.898458
1728:  [INFO] SCORE: 0.99532272
1731:  [INFO] SCORE: 0.9970364
1734:  [INFO] SCORE: 0.9002612
1737:  [INFO] SCORE: 0.854862
1740:  [INFO] SCORE: 0.830132
1743:  [INFO] SCORE: 0.9460006
1746:  [INFO] SCORE: 0.759355
1749:  [INFO] SCORE: 0.891026
1752:  [INFO] SCORE: 0.9656524
1755:  [INFO] SCORE: 0.790747
1758:  [INFO] SCORE: 0.74501
1761:  [INFO] SCORE: 0.9692809
1764:  [INFO] SCORE: 0.872621
1767:  [INFO] SCORE: 0.9840637
1770:  [INFO] SCORE: 0.9897898
1773:  [INFO] SCORE: 0.899514
1776:  [INFO] SCORE: 0.99141951
1779:  [INFO] SCORE: 0.9047127
1782:  [INFO] SCORE: 0.99080646
1785:  [INFO] SCORE: 0.924707
1788:  [INFO] SCORE: 0.9190686
1791:  [INFO] SCORE: 0.9909484
1794:  [INFO] SCORE: 0.79898
1797:  [INFO] SCORE: 0.896946
